Date,Spx_500,Oro,Crudo,Apple,DXY,Bitcoin,Ethereum,DogeCoin
2017-11-09,2584.62012,1285.59998,57.17,41.6613,94.44,7143.58008,320.884,0.00141
2017-11-10,2582.30005,1272.40002,56.74,41.52341,94.39,6618.14014,299.25299,0.00116
2017-11-11,2582.30005,1272.40002,56.74,41.52341,94.39,6357.6001,314.681,0.0012
2017-11-12,2582.30005,1272.40002,56.74,41.52341,94.39,5950.06982,307.90799,0.00104
2017-11-13,2584.84009,1277.30005,56.76,41.35701,94.49,6559.49023,316.716,0.00121
2017-11-14,2578.87012,1281.5,55.7,40.73179,93.83,6635.75,337.63101,0.00118
2017-11-15,2564.62012,1276.5,55.33,40.19453,93.81,7315.54004,333.35699,0.00134
2017-11-16,2585.63989,1277.40002,55.14,40.67474,93.93,7871.68994,330.92401,0.00139
2017-11-17,2578.8501,1295.80005,56.55,40.44889,93.66,7708.99023,332.39401,0.00131
2017-11-18,2578.8501,1295.80005,56.55,40.44889,93.66,7790.1499,347.612,0.00137
2017-11-19,2578.8501,1295.80005,56.55,40.44889,93.66,8036.49023,354.38599,0.00138
2017-11-20,2582.13989,1274.59998,56.09,40.40849,94.08,8200.63965,366.73001,0.00139
2017-11-21,2599.03003,1281.09998,56.83,41.15969,93.95,8071.25977,360.401,0.00139
2017-11-22,2597.08008,1291.59998,58.02,41.59236,93.22,8253.5498,380.65201,0.00182
2017-11-23,2597.08008,1291.59998,58.02,41.59236,93.22,8038.77002,410.16599,0.00189
2017-11-24,2602.41992,1286.69995,58.95,41.59473,92.76,8253.69043,474.91101,0.00191
2017-11-25,2602.41992,1286.69995,58.95,41.59473,92.76,8790.91992,466.276,0.00207
2017-11-26,2602.41992,1286.69995,58.95,41.59473,92.76,9330.5498,471.32999,0.00203
2017-11-27,2601.41992,1293.80005,58.11,41.38554,92.9,9818.34961,480.35501,0.00199
2017-11-28,2627.04004,1294.69995,57.99,41.14305,93.26,10058.7998,472.90201,0.00236
2017-11-29,2626.07007,1282.09998,57.3,40.28962,93.26,9888.61035,427.52301,0.00208
2017-11-30,2647.58008,1273.19995,57.4,40.85303,93.01,10233.59961,447.11401,0.00208
2017-12-01,2642.21997,1278.80005,58.36,40.66285,92.9,10975.59961,466.54001,0.00215
2017-12-02,2642.21997,1278.80005,58.36,40.66285,92.9,11074.59961,463.44901,0.00215
2017-12-03,2642.21997,1278.80005,58.36,40.66285,92.9,11323.2002,465.853,0.00222
2017-12-04,2639.43994,1274.30005,57.47,40.3657,93.19,11657.2002,470.20401,0.00246
2017-12-05,2629.57007,1261.59998,57.62,40.32766,93.38,11916.7002,463.28101,0.00248
2017-12-06,2629.27002,1262.80005,55.96,40.17789,93.61,14291.5,428.58801,0.00266
2017-12-07,2636.97998,1249.80005,56.69,40.25159,93.8,17899.69922,434.40799,0.00272
2017-12-08,2651.5,1245.19995,57.36,40.26347,93.9,16569.40039,456.03101,0.00278
